Year,T,P,E,PpE,PmE
2070,16.2562037,1119.889442,1121.269182,2241.158624,-1.379740815
2071,16.31217834,1121.198712,1122.602279,2243.800991,-1.403567241
2072,16.37305745,1122.284877,1123.67376,2245.958637,-1.388883167
2073,16.47837185,1126.637064,1127.896768,2254.533832,-1.259704157
2074,16.39400763,1125.559339,1126.533558,2252.092897,-0.974219785
2075,16.3457825,1121.723853,1123.232663,2244.956516,-1.508809836
2076,16.41904557,1123.253316,1123.716838,2246.970154,-0.463521869
2077,16.48385636,1129.024519,1128.68768,2257.712199,0.336839527
2078,16.51724338,1130.548769,1128.113399,2258.662167,2.435370279
2079,16.49499981,1122.437757,1123.748388,2246.186145,-1.310631622
2080,16.47383704,1123.596762,1127.353982,2250.950744,-3.757219094
2081,16.46385064,1127.148659,1126.41229,2253.56095,0.736369084
2082,16.4919086,1126.205272,1126.045451,2252.250723,0.159820154
2083,16.59041085,1129.989402,1129.66595,2259.655352,0.323451886
2084,16.6306407,1129.252082,1128.828952,2258.081034,0.423129588
2085,16.69392104,1135.383457,1133.755961,2269.139418,1.627495656
2086,16.71785464,1130.298063,1133.767651,2264.065714,-3.469588294
2087,16.65221013,1129.614544,1129.328797,2258.943341,0.285746644
2088,16.66186116,1131.375448,1128.380797,2259.756244,2.994651302
2089,16.72373567,1130.116027,1131.77301,2261.889037,-1.656983403
2090,16.82079065,1133.785316,1135.978125,2269.763441,-2.19280842
2091,16.73284544,1132.60235,1132.070174,2264.672524,0.532176272
2092,16.75793251,1134.422601,1133.570166,2267.992767,0.852435225
2093,16.8919431,1134.55646,1136.521907,2271.078367,-1.965447032
2094,16.80955776,1130.879354,1131.669897,2262.549251,-0.790543471
2095,16.80571352,1133.359788,1132.908374,2266.268162,0.45141405
2096,16.94544932,1136.240596,1139.704204,2275.9448,-3.463608696
2097,16.85665627,1133.734421,1134.754046,2268.488467,-1.01962459
2098,16.86832858,1135.997878,1135.739757,2271.737635,0.258120668
2099,16.85542425,1135.249394,1136.229772,2271.479166,-0.980377472
2100,16.94995411,1134.656426,1137.139334,2271.79576,-2.482908548
