Year,T,P,E,PpE,PmE
2015,14.69848919,1090.459634,1090.787794,2181.247428,-0.328159759
2016,14.73704669,1090.241172,1092.512669,2182.753841,-2.271496318
2017,14.84512284,1090.600856,1091.389095,2181.989952,-0.788238903
2018,14.84409648,1092.800817,1094.578495,2187.379313,-1.777678071
2019,14.8549429,1092.272387,1097.992793,2190.26518,-5.720405552
2020,14.80157988,1090.271966,1092.03111,2182.303076,-1.75914345
2021,14.92779911,1094.798835,1095.349609,2190.148444,-0.550773415
2022,14.9570906,1097.115598,1097.890342,2195.00594,-0.774744859
2023,14.91718545,1094.417623,1095.460899,2189.878523,-1.043276065
2024,15.08076071,1095.798994,1099.110304,2194.909298,-3.311309702
2025,15.11206855,1097.452438,1100.577213,2198.029651,-3.12477545
2026,15.14797577,1097.976393,1100.350383,2198.326776,-2.373990546
2027,15.07795793,1096.843439,1096.700818,2193.544257,0.142621108
2028,15.14294219,1097.5002,1099.897376,2197.397575,-2.397176251
2029,15.176297,1098.233463,1100.591276,2198.824739,-2.35781329
2030,15.15891267,1100.456774,1099.861795,2200.318568,0.594978803
2031,15.19305728,1097.382092,1098.056454,2195.438546,-0.674361586
2032,15.22794162,1099.900588,1103.278553,2203.179141,-3.377965375
2033,15.24579764,1098.661829,1100.781253,2199.443082,-2.119423862
2034,15.26715787,1100.449795,1103.198708,2203.648503,-2.748913048
2035,15.27952913,1100.932191,1104.147753,2205.079944,-3.215562276
2036,15.24232154,1100.159465,1101.00316,2201.162625,-0.843695222
2037,15.30727082,1102.448423,1104.253999,2206.702422,-1.805576386
2038,15.2844187,1101.531477,1104.758282,2206.28976,-3.226804651
2039,15.41331761,1103.308587,1105.019532,2208.328119,-1.710944364
2040,15.5267864,1106.88977,1106.712222,2213.601992,0.177547491
2041,15.53702465,1105.096621,1107.037244,2212.133864,-1.940623162
2042,15.46415475,1103.120457,1107.649188,2210.769645,-4.528730326
2043,15.48990082,1105.767979,1104.766398,2210.534377,1.001581159
2044,15.47565981,1109.876679,1107.041966,2216.918646,2.834713014
2045,15.53097706,1102.863536,1104.877938,2207.741475,-2.014401808
2046,15.62757738,1106.251803,1111.613538,2217.865341,-5.361734445
2047,15.65723881,1106.094547,1110.001284,2216.095831,-3.906736768
2048,15.74530701,1111.472715,1110.360677,2221.833392,1.112038723
2049,15.85841536,1111.262099,1112.321906,2223.584004,-1.059806999
2050,15.873029,1110.498524,1116.1046,2226.603124,-5.606076465
2051,15.74928107,1107.39446,1110.085623,2217.480083,-2.691162688
2052,15.83524888,1112.243605,1112.937472,2225.181077,-0.693867416
2053,15.85234484,1113.389829,1112.580352,2225.970181,0.809477125
2054,15.96167496,1114.877289,1118.575147,2233.452436,-3.697857815
2055,15.93396922,1116.717583,1116.856213,2233.573797,-0.138630132
2056,15.81992748,1113.886328,1111.680846,2225.567174,2.205481561
2057,15.92660529,1113.205481,1116.169631,2229.375112,-2.964149627
2058,15.96027642,1115.69201,1117.810105,2233.502115,-2.118094844
2059,16.02478282,1115.612607,1116.315414,2231.928021,-0.702806225
2060,16.12092788,1118.123674,1120.608931,2238.732605,-2.485257112
2061,16.05316811,1113.52709,1115.332488,2228.859578,-1.805398406
2062,16.11447951,1118.241571,1117.33452,2235.576091,0.907051348
2063,16.16737112,1116.715877,1120.812893,2237.52877,-4.097015698
2064,16.09362804,1115.691741,1117.553414,2233.245155,-1.861673455
2065,16.09751478,1119.216327,1119.321656,2238.537983,-0.105328851
2066,16.25348784,1120.538349,1123.023749,2243.562098,-2.485399875
2067,16.23364707,1122.79857,1122.182838,2244.981408,0.615731443
2068,16.27453517,1120.198741,1119.969453,2240.168194,0.229287031
2069,16.14754169,1119.897206,1118.937654,2238.83486,0.959552637
