Year,T,P,E,PpE,PmE
2015,14.67446958,1090.690472,1091.403525,2182.093996,-0.713053009
2016,14.71512241,1090.176757,1092.745814,2182.922571,-2.569057472
2017,14.81193342,1094.431482,1095.756216,2190.187698,-1.324734075
2018,14.81586292,1094.454132,1096.897217,2191.351349,-2.443084312
2019,14.85281521,1091.318834,1093.543885,2184.86272,-2.225051174
2020,14.87913561,1093.600584,1096.598542,2190.199126,-2.997958454
2021,14.93626231,1096.894793,1097.959695,2194.854488,-1.064902325
2022,14.91591067,1096.14856,1096.878607,2193.027167,-0.730046231
2023,14.93005144,1094.593327,1096.74036,2191.333687,-2.147033104
2024,15.02803232,1097.577226,1101.313588,2198.890815,-3.736361922
2025,15.04531483,1100.248623,1101.603664,2201.852287,-1.355041494
2026,15.0183517,1098.345507,1100.151986,2198.497493,-1.806479458
2027,15.0333461,1100.375613,1101.50132,2201.876933,-1.125707266
2028,15.09628123,1099.585285,1104.194203,2203.779488,-4.608917572
2029,15.05993911,1100.495732,1102.359417,2202.855149,-1.863685573
2030,15.13229407,1101.402425,1102.469436,2203.871861,-1.067010813
2031,15.24374345,1103.540362,1105.604318,2209.14468,-2.063955342
2032,15.20046443,1102.883026,1104.847234,2207.73026,-1.964207744
2033,15.20034462,1104.545612,1104.703163,2209.248775,-0.157551734
2034,15.17982271,1104.079223,1106.406289,2210.485513,-2.327065851
2035,15.2498876,1102.918348,1104.648771,2207.567119,-1.730423253
2036,15.32230679,1105.53344,1108.530403,2214.063843,-2.996963735
2037,15.32816214,1104.904338,1107.649738,2212.554077,-2.745399992
2038,15.31440637,1105.369482,1105.509918,2210.8794,-0.140436031
2039,15.32646829,1107.50003,1107.856654,2215.356684,-0.356623784
2040,15.34796496,1108.563106,1112.687191,2221.250298,-4.124084532
2041,15.36236909,1108.216454,1108.676841,2216.893296,-0.460387272
2042,15.44684163,1105.911721,1107.121697,2213.033418,-1.209975759
2043,15.43582845,1107.451359,1109.204959,2216.656318,-1.753600678
2044,15.53794435,1109.210847,1113.975601,2223.186448,-4.764754568
2045,15.52334891,1107.387038,1109.382448,2216.769486,-1.995409703
2046,15.5215817,1110.699451,1113.583544,2224.282995,-2.884092781
2047,15.56177127,1108.560717,1111.877049,2220.437766,-3.316331216
2048,15.56359333,1110.181234,1112.766453,2222.947687,-2.585219377
2049,15.56600086,1112.6375,1114.250873,2226.888373,-1.613373303
2050,15.5710285,1111.475898,1113.737173,2225.213071,-2.261274728
2051,15.59604478,1112.759306,1114.129867,2226.889173,-1.370561585
2052,15.51226467,1112.882567,1113.962404,2226.844971,-1.079836445
2053,15.4909453,1108.130504,1110.240865,2218.371369,-2.110360678
2054,15.54503506,1114.395333,1115.956889,2230.352222,-1.561556173
2055,15.49131903,1113.444038,1113.750421,2227.194458,-0.306382985
2056,15.54769954,1115.706309,1113.038913,2228.745222,2.667395291
2057,15.58475035,1110.11407,1113.778269,2223.892339,-3.664198369
2058,15.56431438,1114.293249,1114.891153,2229.184402,-0.597904723
2059,15.59461198,1113.717599,1114.612647,2228.330245,-0.895048088
2060,15.65838307,1112.469934,1116.958861,2229.428795,-4.488926605
2061,15.56391948,1113.984604,1114.027517,2228.012122,-0.042913053
2062,15.53512302,1111.88798,1112.538055,2224.426036,-0.650075107
2063,15.61049735,1115.800967,1115.425488,2231.226455,0.375478605
2064,15.64003204,1113.490958,1115.240515,2228.731473,-1.749556585
2065,15.5953141,1116.943818,1116.223417,2233.167234,0.720401294
2066,15.68272294,1117.403224,1119.782067,2237.185291,-2.378842956
2067,15.59637003,1112.041572,1115.836922,2227.878494,-3.795349581
2068,15.62577006,1112.77308,1112.648263,2225.421343,0.124817484
2069,15.69919131,1118.011939,1118.494723,2236.506662,-0.482783853
2070,15.74990488,1117.519686,1121.797861,2239.317546,-4.278175031
2071,15.6858001,1116.399447,1117.251511,2233.650958,-0.852063927
2072,15.63780363,1114.157162,1114.945425,2229.102587,-0.788263451
2073,15.72658408,1119.738772,1120.022777,2239.761548,-0.284005029
2074,15.69430119,1116.702898,1118.292452,2234.99535,-1.589553725
2075,15.66982622,1114.64766,1117.799827,2232.447487,-3.152166889
2076,15.78518801,1118.500156,1120.503295,2239.003451,-2.003138764
2077,15.77734657,1118.04067,1117.371359,2235.412028,0.669311117
2078,15.75026725,1117.961167,1119.176667,2237.137834,-1.215499456
2079,15.82440365,1119.149444,1122.901011,2242.050455,-3.751567684
2080,15.75632217,1117.447496,1119.187759,2236.635255,-1.740262226
2081,15.82699425,1120.217408,1121.468497,2241.685904,-1.251089309
2082,15.8248276,1120.221604,1122.689504,2242.911108,-2.467900025
2083,15.83838875,1120.758602,1124.602232,2245.360833,-3.843629733
2084,15.67322025,1116.857294,1117.639692,2234.496986,-0.782397809
2085,15.65660397,1116.602995,1116.51353,2233.116525,0.089464623
2086,15.63938877,1120.893985,1117.934269,2238.828254,2.959715527
2087,15.71001044,1117.950985,1119.746299,2237.697284,-1.795314218
2088,15.73806963,1118.541161,1121.150917,2239.692077,-2.609756028
2089,15.69330706,1120.427041,1120.927822,2241.354863,-0.500780479
2090,15.67573183,1119.569761,1120.553664,2240.123425,-0.98390334
2091,15.76067566,1119.399249,1122.405633,2241.804882,-3.006384377
2092,15.6544316,1115.842574,1118.756435,2234.599009,-2.913860375
2093,15.81316131,1122.370834,1123.019985,2245.390819,-0.649151656
2094,15.7958639,1124.39636,1121.711907,2246.108267,2.684453531
2095,15.67573401,1115.461442,1118.782515,2234.243957,-3.321073192
2096,15.66414844,1117.549374,1120.380806,2237.93018,-2.831431715
2097,15.70356166,1120.745187,1122.015053,2242.760241,-1.269865906
2098,15.77870276,1121.077381,1122.267279,2243.34466,-1.189897818
2099,15.76198769,1120.370094,1122.050737,2242.420831,-1.68064346
2100,15.77307773,1119.944606,1123.884721,2243.829327,-3.940115189
